Username,Review,Rating
Ayden Haze,I cannot wear these for more then 30 minutes without extreme pain in my ears no matter what size or position i try. No other earphone has ever done this too me. Selling right away for a cheaper and more comfortable brand,1.0 out of 5 stars
Tori,"Won’t stay connected. When making a phone call, no one can hear me. Just save your money and keep you old pro 1. Noise quality isn’t even better when they actually work. Disappointed. Was very excited.",1.0 out of 5 stars
Limegreenleo,The AirPods Pro battery life is not great. They don’t last long at all. Which sucks because my daughter really needs new AirPods. I guess I’ll have to to with a different brand or something.,1.0 out of 5 stars
seunghyun k.,"I'm suspicious that this package has already been opened. When you first buy AirPods, they should be wrapped in plastic, but mine weren't wrapped. Is this really new one or is it used?",1.0 out of 5 stars
erjon ndoka,purchased airpods and they were to big for my ears so they kept falling out. returned them and had to wait over 2 weeks for my money back and still dont have it.,1.0 out of 5 stars
Robbie,"Purchased on October 11, 2023.  Stopped working on November 30, 2023.  Stopped showing on iPhone and won't connect to anything anymore.  Amazon gives a only 2-week window to return!",1.0 out of 5 stars
Sean,"I’ve bought three AirPods in the last year for myself, my girlfriend and my mother. Guess which one out of the three I didn’t work after a month?",1.0 out of 5 stars
Beadle the Bard,"First off, they are defective- the audio between left and right buds is unbalanced. But what’s more concerning is that these airpods are already connected to an apple ID despite being brand new -check the image! It had a seal and everything.I’m pretty appalled, obviously used defective product repackaged as new.",1.0 out of 5 stars
Joey,Of course right after the return window closed the right AirPod stopped charging in the case. Happens often now. Very disappointed I thought Apple products were better than this!,1.0 out of 5 stars
Robert P Sapko,"When I received these, I initially enjoyed them, but like other reviews, mine were already associated with another icloud account so they were NOT new. Returning and hoping I don't have the issues others have had getting their credit.",1.0 out of 5 stars
Bamabetter,Apple and Amazon make it hell to return these . You can get them cheaper on Walmarts website. Amazons customer service is also horrible.,1.0 out of 5 stars
jean greco,"These air buds did not work properly from the start. Unfortunately I missed the return window..  now they won’t pair at all.  Now I have to purchase a new pair, but it definitely won’t be Amazon",1.0 out of 5 stars
Ping Yu,"The quality of this headset is very poor. I can’t hear the other party talking on the phone at all. The only noise coming from the headset is: “bang, crash, crash”. I’m going to collapse. 😫",1.0 out of 5 stars
kathy victor,"The Apple Gen 2 Pro ear buds simply don’t stay in! Talking, eating or walking will dislodge them. Sending back after 20 mins of use",1.0 out of 5 stars
